district,adm_okrug,area,pop_density,Latitude,Longitude,dist_price
Печатники,ЮВАО,1789,4846.62,55.6935214,37.7269124,144301.0
Покровское-Стрешнево,СЗАО,1290,4613.33,55.825025399999994,37.4504006,194344.0
Преображенское,ВАО,561,16323.35,55.7938235,37.7113174,150951.0
Пресненский,ЦАО,1170,10967.01,55.76221460000001,37.5606576,353288.0
Проспект Вернадского,ЗАО,465,13812.47,55.6771999,37.5060872,233500.0
Раменки,ЗАО,1854,7680.1,55.69756070000001,37.4985423,311662.0
Ростокино,СВАО,354,11354.8,55.8350125,37.652476,175646.0
Рязанский,ЮВАО,649,16960.4,55.722183400000006,37.7688303,155645.0
Савёловский,САО,270,22068.89,55.799768900000004,37.5708333,200555.0
Свиблово,СВАО,441,14281.41,55.8531049,37.6467906,207658.0
Северное Бутово,ЮЗАО,913,10507.89,55.57140940000001,37.577623700000004,156238.0
Северное Измайлово,ВАО,420,20954.05,55.8067811,37.8033479,154447.0
Северное Медведково,СВАО,566,22612.37,55.889663,37.6529265,160444.0
Северное Тушино,СЗАО,940,17682.66,55.8632245,37.427937299999996,165888.0
Северный,СВАО,1029,3754.42,55.9325397,37.5430356,120878.0
Сокол,САО,372,16175.0,55.805006299999995,37.5056244,218854.0
Соколиная Гора,ВАО,784,11777.68,55.772824699999994,37.730144200000005,190020.0
Сокольники,ВАО,1028,5996.98,55.788811200000005,37.6802722,235135.0
Солнцево,ЗАО,1129,11240.12,55.6496916,37.391217700000006,133645.0
Строгино,СЗАО,1684,9578.27,55.803691799999996,37.4031404,200878.0
Таганский,ЦАО,801,15422.22,55.7415723,37.6670626,284020.0
Тверской,ЦАО,727,10721.73,55.7691461,37.6088355,386255.0
Текстильщики,ЮВАО,592,17803.72,55.7031811,37.7405918,151307.0
Тёплый Стан,ЮЗАО,750,17941.6,55.63180237920559,37.48118427058717,167524.0
Тимирязевский,САО,1043,8036.82,55.825816599999996,37.5577439,192644.0
Тропарёво-Никулино,ЗАО,1127,11028.13,55.663719365218924,37.481999662127706,225256.0
Филёвский Парк,ЗАО,962,9853.12,55.7470546,37.4921813,224957.0
Фили-Давыдково,ЗАО,696,16562.21,55.7288995,37.4673379,222529.0
Хамовники,ЦАО,1008,10858.23,55.729229000000004,37.5729484,425741.0
Ховрино,САО,573,15548.69,55.86935749999999,37.488795399999994,159745.0
Хорошёво-Мнёвники,СЗАО,1718,10176.6,55.7787568,37.4800743,210645.0
Хорошёвский,САО,988,7361.54,55.7789309,37.5271723,260203.0
Царицыно,ЮАО,843,15340.21,55.62659420000001,37.6670226,125874.0
Черёмушки,ЮЗАО,552,20099.28,55.663540299999994,37.5610662,213025.0
Чертаново Северное,ЮАО,540,21232.04,55.6330775,37.6052365,180547.0
Чертаново Центральное,ЮАО,652,17992.02,55.6151581,37.6032734,160577.0
Чертаново Южное,ЮАО,938,16193.92,55.58983520000001,37.5957481,134332.0
Щукино,СЗАО,769,14521.85,55.8005723,37.473055200000005,233545.0
Южное Бутово,ЮЗАО,2554,8253.05,55.5412721,37.5325392,153873.0
Южное Медведково,СВАО,388,22130.67,55.8748262,37.633893900000004,155965.0
Южное Тушино,СЗАО,794,13817.13,55.8438581,37.431540600000005,162854.0
Южнопортовый,ЮВАО,453,16521.19,55.719603500000005,37.673618700000006,190357.0
Якиманка,ЦАО,480,5814.79,55.7383741,37.616912799999994,404471.0
Ярославский,СВАО,799,12299.37,55.86143199999999,37.6935724,159241.0
Ясенево,ЮЗАО,2537,7026.57,55.6062621,37.533747600000005,166852.0
