District_Name,Venue_Name,Venue_Category_Name,Venue_Location,Venue_Latitude,Venue_Longitude
Тверской,Итальянец,Italian Restaurant,"Самотечная ул., 13",55.77787278187984,37.61772244615583
Красносельский,Лунный Дворик,Italian Restaurant,Россия,55.76984425840784,37.661963641761076
Басманный,Меркато,Italian Restaurant,Сад им. Баумана (Новая Басманная ул.),55.7685626644553,37.65949450812957
Перово,Da Pino,Italian Restaurant,"Перовская ул., 32, cтр. 1, 111398",55.74538392897986,37.77620294414301
Митино,Ресторан Fratelli,Italian Restaurant,"ул. Рословка, 6",55.830558111562226,37.359177172957075
Хорошёвский,Il Barolo,Italian Restaurant,"Ленинградский просп., 63",55.80299986576822,37.52026120438825
Аэропорт,Chianti classico,Italian Restaurant,"Ленинградский просп., 48, 125167",55.7963352127937,37.54237324885861
Аэропорт,Gustatore,Italian Restaurant,"Петровско-разумовская аллея, 10, корп. 3",55.79344870399324,37.560464183466436
Аэропорт,Chin-Сhin,Italian Restaurant,"ул. Верхняя Масловка, 21 (Петровско-Разумовская ал.)",55.79546797911989,37.55977075960749
Беговой,Пиццатека,Italian Restaurant,"ул. Правды, 24, к. 4, 4-й этаж",55.789828244784594,37.5840274046614
Тверской,Примавера,Italian Restaurant,"Сущевская ул., 25, стр. 1",55.782760859286526,37.60046096676579
Тверской,IL Патио,Italian Restaurant,"Селезневская ул., 30, корп. 1",55.78108808151228,37.611304265684716
Новогиреево,IL ПАТИО,Italian Restaurant,"Ул Перовская (Ул Новотетерки), 111394",55.745366000000004,37.797603
Сокол,Osteria Mario,Italian Restaurant,"Балтийская ул., 9",55.80851769861912,37.513105667134624
Мещанский,Де Марко,Italian Restaurant,"просп. Мира, 46, 129110",55.78166304030822,37.633673173413726
Басманный,Pastoria,Italian Restaurant,"ул. Бауманская, д. 33/2 стр. 1 (Спартаковская ул.), 105005",55.773076,37.678871
Перово,Casa di Famiglia,Italian Restaurant,"ул. Металлургов, 7/18 (2-я Владимирская улица), 111123",55.75757925379686,37.78048709293569
Митино,Il patio,Italian Restaurant,Митинская улица 16,55.84192456749632,37.37192352193188
Аэропорт,У Лары,Italian Restaurant,"Кочновский пр., 4, к. 1, 125167",55.806110134606435,37.54123052665775
Покровское-Стрешнево,Mama Roma,Italian Restaurant,Saint petersburg,55.82741270837262,37.46602326413164
Марьина Роща,RAIKIN PLAZA HOTEL restaraunt,Italian Restaurant,"Шереметьевская ул., 6, корп. 1 (3-й проезд Марьиной Рощи), 129594",55.79641317536394,37.61757491516953
Покровское-Стрешнево,"""Фореста""",Italian Restaurant,"Береговая, 4",55.829515735369284,37.469800013861324
Войковский,Bocconcino,Italian Restaurant,"ТЦ «Метрополис» (Ленинградское ш., 16а, стр. 4), 125171",55.82367795532406,37.49483866436629
Преображенское,Festa&Testo,Italian Restaurant,Малая Семеновская Дом 11/2с4,55.78535602491618,37.71027801850728
Соколиная Гора,Руккола,Italian Restaurant,105318,55.78317,37.719982
Сокольники,Меркато,Italian Restaurant,ПКиО «Сокольники»,55.79745824144369,37.674447352207046
Южное Тушино,Ресторан Риторно,Italian Restaurant,"ул. Свободы, 45, стр. 1",55.84446789633493,37.448120742377
Войковский,IL Nostro,Italian Restaurant,Адмирала Макарова 6 стр 13,55.83535571257089,37.49000708486364
Сокольники,Forneria,Italian Restaurant,"ул. Стромынка д.25, стр.2, 107076",55.79528988903435,37.700614052398755
Головинский,Пицца Пи,Italian Restaurant,"Головинское шоссе, 5, к.1",55.83953095376546,37.490740461876825
Измайлово,Иль Канто,Italian Restaurant,"Измайловское ш., 71а, корп. А",55.78982129087054,37.75013570263921
Останкинский,IL Патио,Italian Restaurant,"ул. Академика Королева, 8а (ТЦ «Мегасфера»), 105005",55.82197473231968,37.62301915575336
Северное Тушино,Tea Funny Кафе,Italian Restaurant,"Парк ""Северное Тушино""",55.86077977490528,37.45121129421375
Левобережный,Мармолада,Italian Restaurant,"Ул. Смольная, Д.35, СТР.2",55.86061642255482,37.48194687484602
Ховрино,Via Romano,Italian Restaurant,"ул. Лавочкина, 34",55.85671222463788,37.49232337481799
Тимирязевский,Вилла Тоскана,Italian Restaurant,"Дмитровское ш., 53",55.8432118568016,37.56939935460532
Марфино,Венеция,Italian Restaurant,"Maxima Irbis hotel / Максима Ирбис отель (Гостиничная ул., 1), 127106",55.842094066333466,37.57996082813234
Останкинский,Osteria Italiana,Italian Restaurant,"ВВЦ, 129085",55.8313808355367,37.63493025114446
Ростокино,Paparino,Italian Restaurant,Россия,55.83841259831846,37.63291723228462
Куркино,Тутти и Джорни,Italian Restaurant,"Воротынская ул., 15, 125466",55.88896339051927,37.39132547615339
Куркино,Cibo E Vino,Italian Restaurant,"Новокуркинское ш., 1 (Новокуркинское ш., 1), 125466",55.885199073267444,37.406237174033436
Левобережный,Макаронино,Italian Restaurant,"Ленинградское ш., 71Б, стр. 2",55.8770431802159,37.45014513038525
Отрадное,Крыша Бар,Italian Restaurant,"Алтуфьевское ш., 8, 127562",55.85301092688259,37.585396116036655
Отрадное,Villa Gusto,Italian Restaurant,"ул. Декабристов, 15, стр. 2",55.86533806603134,37.60263366695436
Южное Медведково,Панчетта,Italian Restaurant,"проезд Дежнёва, 13, 127642",55.870604468237524,37.639958888155896
Бибирево,Villa GUSTO,Italian Restaurant,Костромская 17,55.8845422274444,37.60105734215551
Бибирево,Lido,Italian Restaurant,Россия,55.8885132970255,37.60408055262826
Северный,Il Patio,Italian Restaurant,127411,55.90896600000001,37.540985
