district,adm_okrug,area,pop_density,Latitude,Longitude,dist_price,Cluster_Labels
Нагорный,ЮАО,542,15091.14,55.6703681,37.6163609,171887.0,0
Некрасовка,ЮВАО,558,14968.64,55.6973427,37.9422701,110878.0,0
Нижегородский,ЮВАО,757,6042.01,55.7299222,37.71648029999999,167642.0,1
Новогиреево,ВАО,445,22164.94,55.74876510000001,37.8061677,151974.0,0
Новокосино,ВАО,360,30056.67,55.7398569,37.8603097,138743.0,0
Ново-Переделкино,ЗАО,848,14353.54,55.6461043,37.352684,131641.0,0
Обручевский,ЮЗАО,611,14313.91,55.6641579,37.5203033,200635.0,0
Орехово-Борисово Северное,ЮАО,767,17249.93,55.619223,37.70110250000001,153030.0,0
Орехово-Борисово Южное,ЮАО,694,21301.87,55.603885,37.729895,141300.0,0
Останкинский,СВАО,1246,5112.12,55.82107679999999,37.619119,214077.0,1
Отрадное,СВАО,1018,18246.07,55.8646371,37.6044745,147300.0,0
Очаково-Матвеевское,ЗАО,1754,7467.22,55.690291,37.4406611,193998.0,1
Перово,ВАО,973,14518.91,55.751069,37.75316289999999,154025.0,0
Печатники,ЮВАО,1789,4846.62,55.6935214,37.7269124,144301.0,1
Покровское-Стрешнево,СЗАО,1290,4613.33,55.8250254,37.4504006,194344.0,1
Преображенское,ВАО,561,16323.35,55.7938235,37.7113174,150951.0,0
Пресненский,ЦАО,1170,10967.01,55.76221460000001,37.5606576,353288.0,2
Проспект Вернадского,ЗАО,465,13812.47,55.6771999,37.5060872,233500.0,1
Раменки,ЗАО,1854,7680.1,55.69756070000001,37.4985423,311662.0,2
Ростокино,СВАО,354,11354.8,55.8350125,37.652476,175646.0,1
Рязанский,ЮВАО,649,16960.4,55.72218340000001,37.7688303,155645.0,0
Савёловский,САО,270,22068.89,55.7997689,37.5708333,200555.0,0
Свиблово,СВАО,441,14281.41,55.8531049,37.6467906,207658.0,0
Северное Бутово,ЮЗАО,913,10507.89,55.57140940000001,37.5776237,156238.0,1
Северное Измайлово,ВАО,420,20954.05,55.8067811,37.8033479,154447.0,0
Северное Медведково,СВАО,566,22612.37,55.889663,37.6529265,160444.0,0
Северное Тушино,СЗАО,940,17682.66,55.8632245,37.4279373,165888.0,0
Северный,СВАО,1029,3754.42,55.9325397,37.5430356,120878.0,1
Сокол,САО,372,16175.0,55.8050063,37.5056244,218854.0,0
Соколиная Гора,ВАО,784,11777.68,55.7728247,37.73014420000001,190020.0,1
Сокольники,ВАО,1028,5996.98,55.78881120000001,37.6802722,235135.0,1
Солнцево,ЗАО,1129,11240.12,55.6496916,37.39121770000001,133645.0,1
Строгино,СЗАО,1684,9578.27,55.8036918,37.4031404,200878.0,1
Таганский,ЦАО,801,15422.22,55.7415723,37.6670626,284020.0,2
Тверской,ЦАО,727,10721.73,55.7691461,37.6088355,386255.0,2
Текстильщики,ЮВАО,592,17803.72,55.7031811,37.7405918,151307.0,0
Тёплый Стан,ЮЗАО,750,17941.6,55.63180237920559,37.48118427058717,167524.0,0
Тимирязевский,САО,1043,8036.82,55.8258166,37.5577439,192644.0,1
Тропарёво-Никулино,ЗАО,1127,11028.13,55.663719365218924,37.481999662127706,225256.0,1
Филёвский Парк,ЗАО,962,9853.12,55.7470546,37.4921813,224957.0,1
Фили-Давыдково,ЗАО,696,16562.21,55.7288995,37.4673379,222529.0,0
Хамовники,ЦАО,1008,10858.23,55.729229,37.5729484,425741.0,2
Ховрино,САО,573,15548.69,55.86935749999999,37.4887954,159745.0,0
Хорошёво-Мнёвники,СЗАО,1718,10176.6,55.7787568,37.4800743,210645.0,1
Хорошёвский,САО,988,7361.54,55.7789309,37.5271723,260203.0,1
